"added_at","arist_id","artist_name","album_name","track_duration_ms","track_explicit_flag","track_id","track_name","track_popularity","album_image","track_preview","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","temp","time_signature"
"2016-05-23T21:36:56Z","0jnsk9HBra6NMjO2oANoPY","Flo Rida","MY HOUSE",192190,FALSE,"6Knv6wdA0luoMUuuoYi2i1","My House",87,"https://i.scdn.co/image/c475548f4c1ffbe3566bd48b326261a1592a1c90","https://p.scdn.co/mp3-preview/afa94edef4dec2eda16e99153ccd513ef4306d06",0.688,0.702,-4.792,0,0.0499,0.0215,0,0.128,0.731,94.006,4
"2016-06-09T02:20:49Z","2MSlGNpwXDScUdspOK6TS7","Home Free","Crazy Life",141706,FALSE,"5i9A1n1s82jh53IGLldPG6","Ring of Fire",48,"https://i.scdn.co/image/706238be7bbb4075a68f9773ed1d3e23589d503c","https://p.scdn.co/mp3-preview/84c875d3c93b65afed6e39e789e7f32b2bcf92d9",0.714,0.503,-8.053,1,0.039,0.43,2.07e-05,0.124,0.343,104.882,4
"2016-06-09T02:24:02Z","2MSlGNpwXDScUdspOK6TS7","Home Free","Country Evolution",174893,FALSE,"6UbcthjdWBvqsOqW1n85VJ","Elvira",44,"https://i.scdn.co/image/6d24a0f92f68848bfc395071d629689426c32ff1","https://p.scdn.co/mp3-preview/13b5f1f165581595bbbb7b8cfe42a21fe73c4af3",0.828,0.584,-7.223,1,0.147,0.111,3.33e-06,0.324,0.559,140.093,4
"2016-06-09T02:30:14Z","1yQ8S4xdGOGbUcpaPR6hCM","Straight No Chaser","The New Old Fashioned (Deluxe)",181240,FALSE,"47Cps9pq1OImf0m2ZDzj62","Beggin' / Counting Stars",35,"https://i.scdn.co/image/ae74acc0a6e22a9526e04632b2609507909e7d74","https://p.scdn.co/mp3-preview/ff6d3b2504b76c641eb177bf44bc0e88b7e2ce20",0.782,0.717,-5.204,0,0.34,0.441,0,0.0841,0.628,122.117,4
"2016-06-09T02:31:16Z","1yQ8S4xdGOGbUcpaPR6hCM","Straight No Chaser","The New Old Fashioned (Deluxe)",178866,FALSE,"6pT1VoN2TlQ4MODrrlQzJ2","Can't Feel My Face",31,"https://i.scdn.co/image/ae74acc0a6e22a9526e04632b2609507909e7d74","https://p.scdn.co/mp3-preview/25be5a690b28a3becc948de461da93b3a58efab8",0.726,0.753,-6.357,0,0.0336,0.124,0,0.128,0.376,107.975,4
"2016-06-09T02:37:34Z","1yQ8S4xdGOGbUcpaPR6hCM","Straight No Chaser","Under The Influence (Ultimate Edition)",163120,FALSE,"7lWNtyxo4XoqFN1kLsqJG7","Jolene (feat. Dolly Parton)",31,"https://i.scdn.co/image/f8d039fc500bdbc06719eef09068d03d4733006f","https://p.scdn.co/mp3-preview/53466dc65f7cafce8d645dddb79e324529f3dcc4",0.781,0.473,-9.369,0,0.0469,0.729,3.87e-06,0.119,0.614,109.929,4
"2016-06-09T02:43:40Z","1Mjvv0iadHTTluGAoxIG9N","Tonic Sol-Fa","Twenty One",153333,FALSE,"4Fgg3Ruz2gRMB8hGhmAfNV","99 Problems",8,"https://i.scdn.co/image/9f568c963032e9dc1f1f4a61a134eaf0b3437cf1","https://p.scdn.co/mp3-preview/e113d254e54c613e52502283d4f74dc0b93df623",0.694,0.866,-4.187,1,0.0742,0.333,0,0.0375,0.97,171.995,4
"2016-06-09T03:09:07Z","3OM7yGcKq3sMm1kd2wbLlw","The Rubber Knife Gang","Drivin' On",163280,FALSE,"4A0Q6Htj4BzLFYUBJzo6gV","Tennessee Mountain Girl",38,"https://i.scdn.co/image/487bf289fa5a30ecd95520dbd560de5654960ec0","https://p.scdn.co/mp3-preview/673484882772a6de8a4b6730382243b00704b73d",0.77,0.519,-8.129,1,0.0296,0.848,3.64e-06,0.188,0.885,99.887,4
"2016-07-02T16:35:50Z","720fJ5sGqAOhvU2IUypqIr","Lennon & Maisy","Ain't No Rest for the Wicked",189000,FALSE,"248hvFUDLVSnjCCX0DRsRn","Ain't No Rest for the Wicked",50,"https://i.scdn.co/image/c3f8e32e5fcd509632d6586bc1ed2362f24b334f","https://p.scdn.co/mp3-preview/a2e30147bfdfb3d4d466d218182388022ae7b1bb",0.377,0.68,-8.175,0,0.14,0.822,4.72e-06,0.136,0.585,79.884,4
"2016-07-02T16:41:52Z","720fJ5sGqAOhvU2IUypqIr","Lennon & Maisy","Boom Clap",175615,FALSE,"3j0oJtPonSYt9f5jHVLb91","Boom Clap",63,"https://i.scdn.co/image/f350be2559bc794b2cb3da4ee774e7d211446a43","https://p.scdn.co/mp3-preview/a289f33bfab9d76ece860b31d832a9c7ca565ad0",0.653,0.525,-7.446,1,0.0414,0.57,0,0.141,0.625,156.996,4
